response_id,question_text,response_text
1,How was your day today - were there any moments that felt like a highlight for you?,"""Honestly, it's been tough getting out of the system. I mean, I've been feeling really hopeful about starting new therapy sessions and trying to find part-time work again, so that was kind of a highlight today when I finally got my hands on an application for a job that feels like a good fit - but at the same time, I'm still struggling with anxiety and just feel kinda lost right now."""
2,How was your day today - were there any moments that felt like a highlight for you?,"""I had a decent day, I guess. Met up with an old friend from therapy group and we grabbed coffee together, it was nice to catch up, but afterwards I got stuck in traffic on the way home and just ended up sitting there listening to the same song on repeat for like an hour."""
3,How was your day today - were there any moments that felt like a highlight for you?,"""Oh, it's been a really tough day to be honest. I had a bit of a meltdown in the park when the sun was shining and everyone around me seemed so happy, it just made me feel even more overwhelmed."""
4,How was your day today - were there any moments that felt like a highlight for you?,"""I had a pretty okay day, I guess. The highlight was when my therapist told me I'm making progress and it made me feel somewhat proud of myself, but also kinda anxious about not being good enough anymore."""
5,How was your day today - were there any moments that felt like a highlight for you?,"""I'm just trying to survive right now. I had a nice cup of tea and went out for a walk, but nothing really stood out as a highlight because everything feels so overwhelming."""
6,How was your day today - were there any moments that felt like a highlight for you?,"I'm still trying to process everything, to be honest. There was this one moment when I was out in nature and I saw a bird building its nest, it reminded me of my mom's garden when I was younger, but also kind of made me realize that I can build something new for myself too. It felt... small, but hopeful?"
7,How was your day today - were there any moments that felt like a highlight for you?,"""I had a bit of an existential crisis this morning, but then I met up with some friends at the park and we just talked about life and stuff, you know? It was actually kind of nice to just be present in the moment without any thoughts spiraling out of control. We even managed to have a good laugh together!"""
8,How was your day today - were there any moments that felt like a highlight for you?,"""It's been a weird day, to be honest. I woke up feeling really anxious about paying my bills on time, but then I had a nice cup of tea and watched some old reruns of my favorite show - it was kind of nice to just relax for a bit. It wasn't exactly a highlight, but it was something that took my mind off things."""
9,How was your day today - were there any moments that felt like a highlight for you?,"""I'm still trying to process everything, but I guess I found some small comfort in watching the sunset yesterday. It was just a quiet moment for myself, but it made me realize how much I've been missing that sense of peace. For now, it's all about taking things one step at a time and not getting too overwhelmed."""
10,How was your day today - were there any moments that felt like a highlight for you?,"""It's been a mixed bag, to be honest. I had a bit of a breakthrough in therapy today and was able to process some emotions that've been weighing me down, so that was a positive note. But then I got into an argument with my landlord over the rent increase, and it felt like I'm stuck in this never-ending cycle of anxiety and uncertainty."""
