response_id,question_text,response_text,sentiment_score
1,How was your day today - were there any moments that felt like a highlight for you?,"""Honestly, it's been tough getting out of the system. I mean, I've been feeling really hopeful about starting new therapy sessions and trying to find part-time work again, so that was kind of a highlight today when I finally got my hands on an application for a job that feels like a good fit - but at the same time, I'm still struggling with anxiety and just feel kinda lost right now.""",27
2,How was your day today - were there any moments that felt like a highlight for you?,"""I had a decent day, I guess. Met up with an old friend from therapy group and we grabbed coffee together, it was nice to catch up, but afterwards I got stuck in traffic on the way home and just ended up sitting there listening to the same song on repeat for like an hour.""",45
3,How was your day today - were there any moments that felt like a highlight for you?,"""Oh, it's been a really tough day to be honest. I had a bit of a meltdown in the park when the sun was shining and everyone around me seemed so happy, it just made me feel even more overwhelmed.""",18
4,How was your day today - were there any moments that felt like a highlight for you?,"""I had a pretty okay day, I guess. The highlight was when my therapist told me I'm making progress and it made me feel somewhat proud of myself, but also kinda anxious about not being good enough anymore.""",47
5,How was your day today - were there any moments that felt like a highlight for you?,"""I'm just trying to survive right now. I had a nice cup of tea and went out for a walk, but nothing really stood out as a highlight because everything feels so overwhelming.""",28
6,How was your day today - were there any moments that felt like a highlight for you?,"I'm still trying to process everything, to be honest. There was this one moment when I was out in nature and I saw a bird building its nest, it reminded me of my mom's garden when I was younger, but also kind of made me realize that I can build something new for myself too. It felt... small, but hopeful?",51
7,How was your day today - were there any moments that felt like a highlight for you?,"""I had a bit of an existential crisis this morning, but then I met up with some friends at the park and we just talked about life and stuff, you know? It was actually kind of nice to just be present in the moment without any thoughts spiraling out of control. We even managed to have a good laugh together!""",75
8,How was your day today - were there any moments that felt like a highlight for you?,"""It's been a weird day, to be honest. I woke up feeling really anxious about paying my bills on time, but then I had a nice cup of tea and watched some old reruns of my favorite show - it was kind of nice to just relax for a bit. It wasn't exactly a highlight, but it was something that took my mind off things.""",78
9,How was your day today - were there any moments that felt like a highlight for you?,"""I'm still trying to process everything, but I guess I found some small comfort in watching the sunset yesterday. It was just a quiet moment for myself, but it made me realize how much I've been missing that sense of peace. For now, it's all about taking things one step at a time and not getting too overwhelmed.""",73
10,How was your day today - were there any moments that felt like a highlight for you?,"""It's been a mixed bag, to be honest. I had a bit of a breakthrough in therapy today and was able to process some emotions that've been weighing me down, so that was a positive note. But then I got into an argument with my landlord over the rent increase, and it felt like I'm stuck in this never-ending cycle of anxiety and uncertainty.""",48
11,How was your day today - were there any moments that felt like a highlight for you?,"""I don't really think about my days in the same way I used to. But if I'm being honest, going out for coffee with an old friend this morning was nice, it's been too long since we've caught up.""",78
12,How was your day today - were there any moments that felt like a highlight for you?,"""I'm feeling pretty okay, I guess. Had a good walk outside and saw some birds, which always makes me think of my grandpa who used to take me on walks when I was little. It's funny how little things can bring back feelings, but it feels nice for now.""",80
13,How was your day today - were there any moments that felt like a highlight for you?,"""I had a decent morning, I guess. Had breakfast with some friends and we watched the sunrise together, it was pretty cool. But then I got a text from my ex and I just ended up sitting alone in my room feeling really down.""",48
14,How was your day today - were there any moments that felt like a highlight for you?,"""I'm not really sure what day it is anymore. I had some food, and the sun is still shining outside, so that's something, I guess.""",50
15,How was your day today - were there any moments that felt like a highlight for you?,"I'm still trying to process everything that happened yesterday... I woke up feeling pretty good, managed to get out of bed without too much effort, and had a decent conversation with my sister over the phone. It wasn't exactly a highlight, but it was something small that felt like a step forward, you know?",63
16,How was your day today - were there any moments that felt like a highlight for you?,"""I don't know, it's all just kind of...meh. I did get to see my sister yesterday and we had a nice cup of coffee together, but that's about it. It feels like everything is just so grey right now.""",46
17,How was your day today - were there any moments that felt like a highlight for you?,"It's been a struggle, to be honest. I had a bit of a breakthrough moment when I remembered something my grandma used to say to me when I was feeling down, and it really resonated with me - she'd always tell me that I'm stronger than I think I am, but honestly, I'm just trying not to feel like I'm drowning right now.",35
18,How was your day today - were there any moments that felt like a highlight for you?,"""I had a good day, I guess. We went out for lunch and some friends we met through the support group came with us, so it was nice to catch up with them and feel a bit connected again."" (Reflective and positive)",91
20,How was your day today - were there any moments that felt like a highlight for you?,"""It's been a good day so far, I guess. I had a phone call with my therapist and it went really well, we talked about some of the triggers that led to me needing help in the first place. Yeah, that was definitely a highlight, but other than that, just trying to get back into routine.""",72
22,How was your day today - were there any moments that felt like a highlight for you?,"""I had a pretty rough morning, but then I went for a walk outside and saw some birds singing, it was really beautiful. It made me feel alive again, even if it's just for a minute. It's funny how something as simple as nature can bring back hope.""",81
24,How was your day today - were there any moments that felt like a highlight for you?,"""It's been okay, I guess. Today was pretty uneventful, but I did manage to get out of bed on time and make it to the grocery store without too much trouble. The highlight was probably getting to spend 20 minutes alone in my backyard, just listening to the birds, which felt kind of nice.""",71
25,How was your day today - were there any moments that felt like a highlight for you?,"Today was a blur of emotions, to be honest. I had a bit of a meltdown in the morning when I realized I'd forgotten my medication, but it ended up being a blessing in disguise because I got to talk to my therapist on the phone and we worked through some really challenging stuff. Afterwards, I met up with some friends at the park and we just enjoyed each other's company, laughing and joking around - that was definitely a highlight for me!",75
27,How was your day today - were there any moments that felt like a highlight for you?,"""I had a decent day, I guess. When I finally managed to get out of bed and take a shower, it felt like a small victory. But then I got stuck in traffic on the way to my job interview and couldn't shake off the anxiety, so that was a low point.""",63
28,How was your day today - were there any moments that felt like a highlight for you?,"It's been a good day, I guess. Had a decent conversation with my therapist and we worked through some stuff from last week, so that was positive.",83
29,How was your day today - were there any moments that felt like a highlight for you?,"""I'm still trying to process everything, to be honest. I had a bit of a rough morning when the bus broke down and we got stuck on the side of the road, but then someone offered me a coffee and we ended up having a nice conversation about our shared love of hiking. It was one of those moments where it felt like time just stopped and everything else didn't matter.""",72
31,How was your day today - were there any moments that felt like a highlight for you?,"""I had a decent day, I guess. I managed to get out of the house and do some laundry without collapsing, so that's a win, right? To be honest, though, the highlight was getting that letter from my therapist saying they're happy with how far I've come – it feels like a small accomplishment for now.""",65
34,How was your day today - were there any moments that felt like a highlight for you?,"It's been alright, I guess. Had a bit of a low-key morning, just got out of bed and went to the local café for some coffee.",70
35,How was your day today - were there any moments that felt like a highlight for you?,"""Honestly, it's been tough. Just got back home and the familiar chaos is hitting me hard, but I did manage to have a decent conversation with my sister about our plans for next week, which was nice.""",48
36,How was your day today - were there any moments that felt like a highlight for you?,"""I don't really feel like doing much of anything right now. I mean, I got dressed and went out to grab some groceries, but it all just feels kinda empty. I did catch up with my sister on the phone and she was being really supportive, so that was nice, I guess.""",55
